id,longitude,latitude,price,price_label,room_type,neighbourhood_cleansed,minimum_nights,review_scores_rating
931089563926117417,-79.39597374222694,43.650403395617175,160.0,Average,Private room,Kensington-Chinatown,2,5.0
32811056,-79.35522,43.68426,86.0,Cheap,Entire home/apt,Broadview North,28,5.0
797800058023709324,-79.51947338188681,43.7115956034266,97.0,Cheap,Private room,Pelmo Park-Humberlea,2,4.75
19337572,-79.37855,43.66545,180.0,Average,Entire home/apt,Church-Yonge Corridor,28,5.0
1176136153634182360,-79.3837922,43.6673514,186.0,Average,Entire home/apt,Church-Yonge Corridor,60,
24911265,-79.48825,43.62347,160.0,Average,Entire home/apt,Mimico (includes Humber Bay Shores),28,4.92
691077102864491027,-79.42066,43.66568,2000.0,Expensive,Entire home/apt,Dovercourt-Wallace Emerson-Junction,28,5.0
701348340055266871,-79.393722407099,43.64865667920664,267.0,Expensive,Entire home/apt,Waterfront Communities-The Island,3,4.89
829948803939721671,-79.39855951825083,43.653483296439525,99.0,Cheap,Private room,Kensington-Chinatown,28,
9683357,-79.40169139999999,43.7263982,67.0,Cheap,Private room,Lawrence Park North,28,4.71
692586093862346958,-79.4454028,43.6889159,122.0,Average,Entire home/apt,Oakwood Village,7,4.93
1136490069737911972,-79.41706014883718,43.78973954885422,42.0,Cheap,Private room,Newtonbrook East,28,5.0
30648538,-79.30012,43.67512,274.0,Expensive,Entire home/apt,The Beaches,28,4.94
839032799559432877,-79.45162726532975,43.66673655032957,282.0,Expensive,Entire home/apt,Dovercourt-Wallace Emerson-Junction,1,4.89
1218085904967745045,-79.47312,43.68586,150.0,Average,Entire home/apt,Keelesdale-Eglinton West,4,
35548850,-79.45416,43.64012,91.0,Cheap,Private room,High Park-Swansea,1,4.91
16702612,-79.4336,43.65756,77.0,Cheap,Entire home/apt,Dufferin Grove,28,4.6
20771358,-79.48031,43.71733,106.0,Average,Entire home/apt,Maple Leaf,2,4.97
51050240,-79.37944,43.64269,329.0,Expensive,Entire home/apt,Waterfront Communities-The Island,4,4.88
720560594792766388,-79.39343,43.70706,176.0,Average,Entire home/apt,Mount Pleasant West,28,4.23
27834504,-79.43424,43.64946,145.0,Average,Entire home/apt,Little Portugal,28,4.5
1008082392344044658,-79.44422,43.78414,146.0,Average,Private room,Newtonbrook West,2,4.73
1049227774931695371,-79.37918429999999,43.6534388,125.0,Average,Entire home/apt,Church-Yonge Corridor,31,4.0
676818170234124941,-79.39373,43.64637,343.0,Expensive,Entire home/apt,Waterfront Communities-The Island,2,4.84
39230275,-79.38114,43.64102,1151.0,Expensive,Entire home/apt,Waterfront Communities-The Island,31,4.93
33958969,-79.43269,43.6483,230.0,Expensive,Entire home/apt,Little Portugal,1,4.87
560842840468079243,-79.408836,43.653313,135.0,Average,Private room,Trinity-Bellwoods,28,4.88
1141191433375371816,-79.2373,43.79444,99.0,Cheap,Entire home/apt,Malvern,2,4.14
969476051781581252,-79.54564668341312,43.63464729578486,55.0,Cheap,Private room,Islington-City Centre West,30,5.0
22864466,-79.30764,43.67342,171.5,Average,Entire home/apt,The Beaches,28,
19263966,-79.38262,43.64261,244.0,Expensive,Private room,Waterfront Communities-The Island,365,4.94
21191646,-79.23386,43.7312,105.5,Average,Private room,Cliffcrest,28,
772015241737203008,-79.39899,43.72648,75.0,Cheap,Private room,Lawrence Park North,28,4.62
34909401,-79.21464,43.80726,72.0,Cheap,Private room,Malvern,28,4.83
929628194188084506,-79.42471,43.64584,236.0,Expensive,Entire home/apt,Little Portugal,4,5.0
1206898660247718780,-79.4215443,43.7925817,249.0,Expensive,Entire home/apt,Newtonbrook West,2,
15875517,-79.43011,43.68618,140.0,Average,Entire home/apt,Humewood-Cedarvale,28,
29362239,-79.49175,43.66574,74.0,Cheap,Entire home/apt,Runnymede-Bloor West Village,28,4.67
1214067768665324733,-79.46529,43.66974,55.0,Cheap,Entire home/apt,Junction Area,28,
52876577,-79.39850140897552,43.74547351851621,750.0,Expensive,Entire home/apt,St.Andrew-Windfields,4,4.95
1184099293550440625,-79.1854847,43.7870476,38.0,Cheap,Private room,Highland Creek,28,
32521143,-79.44085,43.69867,79.0,Cheap,Private room,Briar Hill-Belgravia,1,4.66
53161851,-79.31753,43.66826,450.0,Expensive,Entire home/apt,Greenwood-Coxwell,90,4.97
1141584546562386391,-79.32319909072554,43.75552503995127,167.0,Average,Entire home/apt,Parkwoods-Donalda,2,5.0
1937092,-79.41484,43.65363,100.0,Cheap,Entire home/apt,Trinity-Bellwoods,28,4.65
1141400768759565612,-79.39819718800604,43.64119425243844,293.0,Expensive,Entire home/apt,Waterfront Communities-The Island,1,4.0
682116520272030679,-79.48669,43.62443,180.0,Average,Entire home/apt,Mimico (includes Humber Bay Shores),31,4.5
1095108673792437801,-79.41623,43.78856,74.0,Cheap,Private room,Newtonbrook East,1,
718920590049690949,-79.37232,43.76789,140.0,Average,Entire home/apt,Bayview Village,28,4.8
646467541295857030,-79.40066,43.64713,136.0,Average,Private room,Waterfront Communities-The Island,28,4.92
1093659336033122217,-79.45920771602705,43.76040962059556,193.0,Expensive,Private room,Bathurst Manor,1,5.0
1002372363818179500,-79.17270792885773,43.77272968172209,89.0,Cheap,Private room,West Hill,29,
9477844,-79.44039,43.68033,489.0,Expensive,Entire home/apt,Oakwood Village,3,4.89
3434451,-79.40097,43.67419,189.0,Expensive,Entire home/apt,Annex,28,
981932317452613712,-79.48754124624583,43.66430707974382,119.0,Average,Private room,Runnymede-Bloor West Village,3,5.0
4038780,-79.35221927027193,43.67543786655842,265.0,Expensive,Entire home/apt,North Riverdale,28,4.75
54326371,-79.30249,43.7346,106.0,Average,Private room,Wexford/Maryvale,2,4.94
760872516588909341,-79.45563518304559,43.714488056156206,120.0,Average,Entire home/apt,Yorkdale-Glen Park,28,
834807068364840249,-79.30629534768674,43.715630894599215,130.0,Average,Private room,O'Connor-Parkview,28,1.0
53751739,-79.38896,43.64995,170.0,Average,Entire home/apt,Waterfront Communities-The Island,30,5.0
1196652262015328944,-79.2858822,43.6954873,228.0,Expensive,Entire home/apt,Oakridge,1,5.0
621242772492747553,-79.42161878630579,43.662529231644285,255.0,Expensive,Entire home/apt,Palmerston-Little Italy,4,4.54
12835392,-79.41279,43.76486,140.0,Average,Entire home/apt,Lansing-Westgate,28,
607085864473416124,-79.38991,43.64506,244.0,Expensive,Entire home/apt,Waterfront Communities-The Island,28,4.96
48884133,-79.40083,43.71116,95.0,Cheap,Entire home/apt,Yonge-Eglinton,30,4.75
